,SoSciCondition,participantID,condition,Text_SoSci,color,sentence_x,answer,Text_x,Position,sentence_y,confidence,sentence_x,reading_time,sentence_y,truthvalue,Text_y,read,correctAnswer
202,1,86414,low,1,1,T108_05,0,1,5,T110_05,3.0,T111_05a,2647.0,TC04x05,true,TC04,1,0
203,3,18956,control,1,6,T108_05,1,1,5,T110_05,6.0,T111_05a,13848.0,TC04x05,false,TC04,1,1
204,2,20447,high,1,3,T108_05,0,1,5,T110_05,4.0,T111_05a,4015.0,TC04x05,true,TC04,1,0
205,3,4559,control,1,6,T108_06,1,1,6,T110_06,6.0,T111_06a,6192.0,TC04x06,true,TC04,1,1
206,2,59361,high,1,4,T108_06,1,1,6,T110_06,6.0,T111_06a,1871.0,TC04x06,true,TC04,1,1
207,2,94677,high,1,4,T108_06,1,1,6,T110_06,6.0,T111_06a,2872.0,TC04x06,false,TC04,1,1
208,3,39514,control,1,6,T108_06,1,1,6,T110_06,5.0,T111_06a,2264.0,TC04x06,true,TC04,1,1
209,3,89555,control,1,5,T108_06,1,1,6,T110_06,6.0,T111_06a,5534.0,TC04x06,true,TC04,1,1
210,1,99467,low,1,2,T108_06,0,1,6,T110_06,5.0,T111_06a,2047.0,TC04x06,true,TC04,1,0
211,2,54447,high,1,3,T108_06,1,1,6,T110_06,6.0,T111_06a,5719.0,TC04x06,false,TC04,1,1
212,1,70147,low,1,1,T108_06,1,1,6,T110_06,6.0,T111_06a,3261.0,TC04x06,true,TC04,1,1
213,3,85033,control,1,5,T108_06,1,1,6,T110_06,6.0,T111_06a,9817.0,TC04x06,true,TC04,1,1
214,2,24500,high,1,4,T108_06,1,1,6,T110_06,6.0,T111_06a,1565.0,TC04x06,true,TC04,1,1
215,2,19117,high,1,3,T108_06,1,1,6,T110_06,6.0,T111_06a,2198.0,TC04x06,true,TC04,1,1
216,1,80909,low,1,2,T108_06,1,1,6,T110_06,6.0,T111_06a,787.0,TC04x06,false,TC04,1,1
217,1,48497,low,1,2,T108_06,1,1,6,T110_06,3.0,T111_06a,3557.0,TC04x06,false,TC04,1,1
218,2,33490,high,1,3,T108_06,1,1,6,T110_06,2.0,T111_06a,4621.0,TC04x06,true,TC04,1,1
219,3,63779,control,1,6,T108_06,0,1,6,T110_06,6.0,T111_06a,10689.0,TC04x06,true,TC04,1,0
